iter	MultiClass
0	1.085825576
1	1.075757157
2	1.066298597
3	1.058387873
4	1.052382769
5	1.046357353
6	1.040626189
7	1.035884161
8	1.030479168
9	1.024632247
10	1.020201048
11	1.016456722
12	1.012807066
13	1.008889373
14	1.005534069
15	1.001638029
16	0.9991503721
17	0.9963705696
18	0.9929758898
19	0.9891802247
20	0.9858608104
21	0.9830975653
22	0.9800968356
23	0.9777896568
24	0.975575802
25	0.9745495979
26	0.9720351049
27	0.9706275914
28	0.9689998168
29	0.9672044472
30	0.9665631776
31	0.9648246002
32	0.9627380579
33	0.9620245424
34	0.9597526388
35	0.9587717746
36	0.957245008
37	0.9559182234
38	0.9547429149
39	0.9534251362
40	0.9526453684
41	0.9508820704
42	0.9491484476
43	0.9477295076
44	0.9461396934
45	0.9449184336
46	0.9437500636
47	0.9422053126
48	0.9399680246
49	0.9389482169
50	0.9366438495
51	0.9349396456
52	0.9341037686
53	0.9321677851
54	0.9315577692
55	0.9300463838
56	0.9286229158
57	0.9276231267
58	0.9262990475
59	0.9252597032
