iter	Passed	Remaining
0	73	4329
1	146	4241
2	231	4398
3	297	4161
4	366	4034
5	423	3809
6	488	3696
7	543	3532
8	603	3420
9	656	3283
10	713	3177
11	770	3080
12	833	3013
13	899	2956
14	964	2894
15	1024	2816
16	1085	2744
17	1143	2668
18	1203	2596
19	1254	2509
20	1309	2431
21	1361	2351
22	1419	2283
23	1469	2203
24	1524	2133
25	1571	2055
26	1625	1987
27	1673	1912
28	1726	1845
29	1773	1773
30	1829	1711
31	1881	1646
32	1936	1584
33	1986	1519
34	2039	1456
35	2085	1390
36	2138	1329
37	2187	1266
38	2239	1205
39	2289	1144
40	2348	1088
41	2398	1027
42	2450	968
43	2504	910
44	2561	853
45	2609	794
46	2666	737
47	2713	678
48	2767	621
49	2817	563
50	2870	506
51	2916	448
52	2972	392
53	3023	335
54	3075	279
55	3123	223
56	3179	167
57	3227	111
58	3283	55
59	3331	0
