timedelta,n_tokens_title,n_tokens_preview,preview_subjectivity,n_tokens_content,prop_non_stop,prop_unique_non_stop,num_imgs,num_hrefs,n_tokens_cross,subjectivity_cross,content_cross,subcategory1_Attractions,subcategory1_Australia,subcategory1_Beauty & Wellness,subcategory1_Food Guides,subcategory1_Malaysia,subcategory1_Sales & Promotions,author_category_100 to 200 posts,author_category_More than 200 posts,0,1,2,3,4,0,1,2,3,4,0,1,2,3,4
278,16,27,0.0,2421,1.1519567027477102,0.3650273224043716,17,49,1045872,0.0,118.90930440101168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.9277673,2.423886,7.1067266,5.087164,3.96398,5.986682,1.6416532,4.897384,5.4409285,5.2507706,-0.5858389,-0.6253674,2.0247793,4.8290124,4.4238687
652,16,22,0.0,536,1.1197604790419162,0.3702127659574468,6,18,188672,0.0,79.6419726915621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.29757,4.406595,8.20017,5.433575,4.876914,7.5098066,1.6930016,5.3459764,4.957372,5.391182,10.584432,3.2741272,2.198341,5.885004,4.3572984
278,15,17,0.0,471,1.2009132420091324,0.41379310344827586,4,10,120105,0.0,24.712086751909425,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,9.066143,4.6674476,7.7197447,6.432923,5.852356,9.79389,3.9803014,6.1294003,4.9622846,3.3885505,3.792838,0.92893416,1.8928287,5.7030854,4.574062
199,18,10,0.0,641,1.0755627009646302,0.3949843260188088,3,8,115380,0.0,56.72257080492821,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0284634,1.4802183,6.7668834,5.092781,4.089048,6.639799,1.5477467,4.934525,4.7363114,5.5709157,4.6452446,1.2269837,1.9639353,5.7972407,4.892079
33,18,5,0.3,1548,1.0851342501637198,0.3564189189189189,23,36,139320,0.13320770674752966,126.62375394387772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.920132,4.16931,7.4116917,5.9525967,6.4037347,1.9034342,-0.48371103,3.9462593,4.451234,5.5704966,4.752527,0.6843918,1.4684622,5.366057,4.5425744
382,15,15,0.4000000000000001,1456,1.2045769764216365,0.3404255319148936,8,24,327600,0.06367254450975385,111.28183464164098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.538116,4.289037,7.9827247,6.5178976,5.6169634,9.878613,4.2981243,5.071473,6.759039,4.6121306,6.5275364,2.1130545,1.7634988,6.12191,5.4825735
662,18,25,0.7124999999999999,1464,1.1514522821576763,0.3416815742397138,9,33,658800,0.11616833536833532,286.48120577731606,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9.730433,3.6796906,7.819727,6.44154,5.3793983,10.473623,4.2954597,4.8413835,5.9482603,4.0743923,9.716451,3.747201,2.2308877,6.2217746,4.636676
1233,18,25,0.44047619047619047,998,1.0644831115660185,0.4172661870503597,7,26,449100,0.0,88.94380796632248,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.5561775,0.774659,6.090685,5.6152463,3.8910165,4.451116,0.7550354,4.664879,4.880899,5.707102,-1.6171595,-0.5932041,2.2789626,4.8335567,4.290094
195,19,2,0.0,718,1.0338028169014084,0.347682119205298,10,2,27284,0.0,25.50506851304017,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,11.042259,3.710678,8.232998,5.3463597,4.3560066,10.363689,3.9792566,6.524315,6.358833,4.4340744,8.34836,2.6791012,1.7301502,6.0572624,4.209639
463,17,20,0.6000000000000001,1091,1.1280148423005565,0.32397408207343414,9,5,370940,0.0,115.49024473229748,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.686225,1.8077037,6.666671,4.811613,4.279688,10.280091,4.3388515,6.6440763,4.084056,4.3383236,5.852091,2.336067,1.8959724,6.5544624,4.893593
